,0,1,2,3,4,5,6,7,8,9,10,11,12
111,257,229,269,283,341,335,294,417,143,739,421,369,467
112,368,2,2,2,2,2,2,2,2,2,2,2,2
113,258,577,437,629,801,637,381,603,561,921,1109,577,725
114,373,1,1,1,1,1,1,1,1,1,1,1,1
115,259,8,8,8,8,8,8,8,8,8,8,8,8
116,260,2,2,2,2,2,2,2,2,2,2,2,2
117,261,13,13,13,13,13,13,13,13,13,13,13,13
118,263,7,7,7,7,49,19,19,37,43,163,151,7
119,264,1109,1125,965,1461,1693,2589,1377,1461,2709,2789,4685,3981
120,267,3,3,3,3,3,7,35,55,19,47,59,39
121,268,486,186,102,82,142,1074,102,670,652,966,986,1030
122,269,329,128,219,345,226,239,250,332,238,623,84,614
123,270,210,184,308,338,234,228,310,266,476,408,490,626
124,271,2196,1707,2160,2361,2670,2202,1839,2499,3369,4773,3387,3093
125,272,2,2,2,2,2,2,2,2,2,2,14,32
126,420,13,13,13,13,13,13,13,13,13,13,13,13
127,273,3,3,3,3,3,3,3,3,3,3,3,3
128,274,13,13,13,13,13,13,13,13,13,13,169,607
129,275,515,681,473,595,727,343,493,529,547,705,643,495
130,276,84,104,68,44,62,32,49,36,50,46,92,36
131,277,218,118,362,229,228,187,209,170,324,296,270,267
132,278,175,267,177,219,229,183,183,165,197,211,175,277
133,279,4,4,4,4,4,4,4,4,4,4,4,4
134,280,13,13,13,13,13,13,13,13,13,13,13,13
135,281,19,19,19,19,19,19,19,19,19,19,19,19
136,282,8,8,8,8,8,8,8,8,8,8,8,8
137,375,12,12,12,12,12,12,12,12,12,12,12,12
138,284,4,4,4,4,4,4,4,4,4,4,4,4
139,285,17,17,17,17,17,17,17,17,17,17,17,17
140,377,7,7,7,7,7,7,7,7,7,7,7,7
141,286,87,35,179,137,233,75,103,123,179,163,191,109
142,421,10,10,10,10,10,10,10,10,10,10,10,10
143,101,11,11,11,11,11,11,11,11,11,11,11,11
144,102,4,4,4,4,4,4,4,4,4,4,4,4
145,103,137,225,213,261,221,225,117,221,373,213,305,293
146,104,215,275,146,248,215,167,152,206,254,251,284,263
147,105,143,191,87,179,103,87,47,103,279,127,195,99
148,106,149,443,375,455,367,473,623,467,671,787,715,639
149,107,262,142,252,192,158,280,268,278,288,364,394,378
150,108,11,559,435,487,477,545,581,597,557,1049,841,577
151,109,126,66,326,186,310,170,202,338,250,274,338,250
152,110,15,15,15,87,15,43,203,31,43,15,39,15
153,111,107,119,167,259,231,155,255,67,215,123,207,307
154,112,7,7,7,7,10,7,31,7,13,16,19,7
155,113,179,103,191,283,179,123,315,179,235,287,395,319
156,114,20,20,20,29,26,35,26,20,20,32,26,20
157,115,13,13,13,21,12,11,23,11,11,11,11,23
158,116,10,14,22,10,10,34,10,10,10,10,26,10
159,117,12,12,12,21,12,24,12,24,15,12,12,18
160,287,59,43,147,51,59,75,51,43,59,251,59,83
161,121,68,4,356,420,212,276,216,228,564,860,372,292
162,122,147,12,78,216,186,12,351,132,288,432,192,12
163,422,214,70,278,142,118,70,102,6,486,326,342,6
164,288,9,9,9,11,10,28,20,12,131,133,45,37
165,423,15,15,15,15,15,15,15,15,15,15,15,15
166,424,20,20,20,20,20,20,20,20,20,20,20,20
167,425,4,4,4,4,4,4,4,4,4,4,4,4
168,426,8,8,8,8,8,8,8,8,8,8,8,8
169,123,44,12,104,86,104,92,64,54,272,260,84,44
170,289,14,12,18,24,24,16,28,8,66,86,16,16
171,427,12,26,50,52,68,92,77,124,294,72,186,66
172,406,19,59,83,39,63,75,35,203,95,187,119,51
173,124,181,307,715,823,712,1021,646,2437,6202,4573,1261,841
174,338,9,9,9,9,9,9,9,9,9,9,9,9
175,428,11,11,53,33,9,45,19,13,187,35,29,9
176,339,128,120,108,248,212,232,156,288,976,832,624,328
177,126,13,5,21,73,39,49,70,45,13,3,3,3
178,127,66,60,126,126,118,316,182,598,766,652,362,206
179,128,370,130,74,32,2,218,18,130,172,50,106,122
180,129,246,350,26,4,50,1346,52,50,1138,946,146,288
181,131,442,730,82,34,10,1706,468,298,658,514,610,394
182,132,1136,1358,1164,1154,1070,1562,1250,888,1443,1445,1286,1664
183,133,2088,3548,2012,3576,2160,2756,3064,1460,2588,3284,2744,4104
184,134,206,306,134,496,170,338,190,122,206,218,254,488
185,136,758,1091,1103,1169,1319,1316,941,938,1178,1106,842,1010
186,137,16,16,16,16,16,16,16,16,16,16,16,16
187,344,4,4,4,4,4,4,4,4,4,4,4,4
188,140,1156,1513,967,1333,1261,1453,1108,1081,1996,1621,1357,1429
189,141,352,240,608,306,308,296,342,224,590,544,1002,384
190,429,35,53,9,10,5,5,5,5,17,41,11,5
191,144,48,110,116,88,50,38,63,68,150,134,168,104
192,384,16,16,16,16,16,16,16,16,16,16,16,16
193,430,11,11,11,11,11,11,11,11,11,11,11,11
194,431,18,18,18,18,18,18,18,18,18,18,18,18
195,432,7,7,7,7,7,7,7,7,7,7,7,7
196,385,41,11,11,11,137,433,11,731,431,463,285,249
197,386,298,286,286,694,454,772,292,466,1450,16,430,148
198,147,992,618,761,578,753,1100,696,1281,1789,1771,1165,547
199,148,87,87,93,103,203,195,55,107,327,115,215,123
200,149,69,146,142,258,177,201,75,77,228,314,247,111
201,387,123,511,107,499,507,531,423,323,599,751,403,299
202,150,219,163,263,267,247,263,239,323,667,503,391,475
203,151,520,442,616,920,668,708,358,660,1236,1328,746,2258
204,152,693,725,721,1037,905,1013,353,881,1725,1869,2101,1097
205,154,1,1,19,17,8,11,5,8,1,9,7,3
206,155,19,19,61,55,22,31,22,25,19,49,25,37
207,156,16,16,16,16,16,16,16,16,16,16,16,16
208,157,39,139,243,189,151,295,199,301,251,257,399,251
209,158,49,173,111,61,71,121,59,63,99,93,69,83
210,159,13,25,43,27,37,20,28,27,24,17,32,40
211,160,17,17,50,98,53,68,68,104,152,149,122,203
212,161,42,110,58,82,50,62,66,62,74,162,22,38
213,162,2,2,2,2,2,2,2,2,2,2,2,2
214,163,17,17,17,17,17,17,17,17,17,17,17,17
215,164,11,11,11,11,11,11,11,11,11,11,11,11
216,165,20,124,162,160,126,186,104,150,180,26,266,154
217,166,119,85,101,91,89,97,97,105,97,99,111,93
218,167,179,119,159,75,175,115,107,99,151,163,55,107
219,297,82,58,64,82,55,82,16,25,43,40,46,52
220,169,8,8,8,8,8,8,8,8,8,8,8,8
221,170,19,19,19,19,19,19,19,19,19,19,19,19
222,171,8,8,8,8,8,8,8,8,8,8,8,8
223,172,11,11,11,11,11,11,11,11,11,11,11,11
224,173,302,330,300,264,198,276,204,264,222,440,264,286
225,174,17,17,17,17,17,17,17,17,17,17,17,17
226,175,2,2,2,2,2,2,2,2,2,2,2,2
227,176,6,6,6,6,6,6,6,6,6,6,6,6
228,177,7,7,7,7,7,7,7,7,7,7,7,7
229,178,8,8,8,8,8,8,8,8,8,8,8,8
230,179,17,17,17,17,17,17,17,17,17,17,17,17
231,180,2,2,2,2,2,2,2,2,2,2,2,2
232,182,10,14,42,18,22,14,20,16,54,34,46,38
233,183,11,11,11,11,11,11,11,11,11,11,11,11
234,184,8,8,8,8,8,8,8,8,8,8,8,8
235,185,21,28,35,34,44,69,37,49,79,42,51,70
236,186,35,17,101,47,29,53,26,71,74,23,74,41
237,187,15,15,15,15,15,15,15,15,15,15,15,15
238,190,15,15,15,15,15,15,167,271,327,271,159,135
239,193,19,19,19,19,19,19,19,19,19,19,19,19
240,194,7,7,7,7,7,7,7,7,64,195,178,155
241,196,17,17,17,17,17,17,17,17,101,145,159,203
242,199,6,6,6,6,6,6,6,64,238,352,258,226
243,200,8,8,8,8,8,8,8,8,8,8,8,8
244,201,7,7,7,7,7,7,7,7,7,7,7,7
245,202,8,8,8,8,8,8,8,8,8,8,8,8
246,203,138,130,198,62,42,110,82,22,46,30,94,22
247,204,20,20,20,20,20,20,20,20,20,20,20,20
248,314,11,11,11,11,11,11,11,11,11,11,11,11
249,315,7,7,7,7,7,7,7,7,7,7,7,7
250,316,17,17,17,17,17,17,17,17,17,17,17,17
251,317,194,52,82,130,182,114,88,102,76,114,142,188
252,318,8,8,8,8,8,8,8,8,8,8,8,8
253,319,9,9,9,9,9,9,9,9,9,9,9,9
254,320,6,6,6,6,6,6,6,6,6,6,6,6
255,321,6,6,6,6,6,6,6,6,6,6,6,6
256,322,2,2,2,2,2,2,2,2,2,2,2,2
257,324,94,78,222,96,137,256,322,275,69,128,40,26
258,325,11,53,11,11,5,23,5,5,17,17,11,5
259,326,490,338,986,658,890,778,650,446,398,178,186,34
260,396,16,10,28,10,10,10,10,10,10,10,10,10
261,397,160,152,224,168,112,112,292,224,40,16,16,16
262,433,7,7,7,7,7,7,7,7,7,7,7,7
263,399,8,8,8,8,8,8,8,8,8,8,8,8
264,205,11,11,11,11,11,11,11,11,11,11,11,11
265,206,6,6,6,6,6,6,6,6,350,646,618,898
266,434,12,12,12,12,12,12,12,12,12,12,12,12
267,208,18,18,18,18,18,18,18,18,18,18,18,18
268,211,13,13,13,13,13,13,13,13,133,201,49,117
269,212,8,8,8,8,8,8,8,8,8,8,8,8
270,214,7,5,41,11,21,17,5,5,65,45,5,1
271,215,24,30,78,54,42,12,57,360,93,165,108,54
272,217,16,16,40,36,32,16,16,16,52,30,56,16
273,218,5,5,47,26,35,17,5,5,167,359,11,5
274,219,9,45,93,9,33,57,45,21,12,9,9,57
275,220,96,210,318,108,222,222,264,177,162,108,66,84
276,221,36,46,52,40,34,40,56,16,76,56,40,30
277,224,61,131,211,37,115,331,218,49,277,55,103,163
278,225,225,81,325,169,489,449,497,321,573,225,225,289
279,226,20,4,84,36,148,84,4,4,100,20,52,4
280,228,15,15,15,15,15,15,15,15,15,15,15,15
281,229,7,7,7,7,7,7,7,7,7,7,7,7
282,230,13,21,53,33,21,67,21,49,65,67,61,33
283,231,21,29,21,21,29,13,13,21,57,45,29,45
284,232,11,9,11,36,15,21,15,15,21,19,13,21
285,233,39,15,33,93,69,57,213,90,84,57,51,15
286,1,40,64,34,22,34,67,40,115,142,142,103,37
287,2,38,18,18,102,74,38,22,46,30,170,106,22
288,3,15,15,15,15,15,15,15,15,19,15,15,15
289,4,116,130,184,178,130,100,44,286,278,196,58,120
290,5,187,157,94,556,562,82,229,253,415,250,232,154
291,6,18,15,9,12,3,63,15,3,9,33,33,18
292,7,937,1437,917,1381,1129,1133,1309,849,533,965,753,661
293,8,980,1340,1144,1352,1420,768,1020,1108,932,1480,1308,912
294,234,81,101,61,105,83,91,65,63,79,185,120,73
295,9,309,523,475,339,411,207,415,323,397,453,235,377
296,10,160,250,218,191,281,330,378,468,262,10,10,10
