,0,1,2,3,4,5,6,7,8,9,10,11,12
483,386,82,70,16,28,64,16,58,28,199,934,394,16
484,147,160,191,128,218,142,204,99,686,559,1016,928,907
485,148,111,107,79,99,19,55,99,183,91,131,211,279
486,149,128,75,90,159,187,111,99,135,119,395,393,234
487,387,891,123,99,163,411,331,147,115,59,1487,987,679
488,150,151,139,283,365,291,307,239,275,303,605,399,303
489,151,1472,804,1810,1886,2064,1588,1952,4252,1852,2208,1422,724
490,152,789,373,797,909,589,997,101,645,253,1881,1381,1181
491,154,7,3,8,1,2,13,3,9,1,1,1,1
492,155,19,25,25,31,19,31,49,31,19,19,19,19
493,156,16,16,16,16,16,16,16,16,16,16,16,16
494,157,155,187,191,139,127,167,147,203,51,19,19,19
495,158,61,45,75,53,95,87,57,49,29,9,9,9
496,159,27,38,18,17,18,14,19,21,14,89,13,61
497,160,269,44,137,77,89,41,83,77,56,17,17,17
498,161,90,98,146,58,74,42,98,66,14,338,94,138
499,162,2,2,2,2,2,2,2,2,2,2,2,2
500,163,17,17,17,17,17,17,17,17,17,17,17,17
501,164,11,11,11,11,11,11,11,11,11,11,11,11
502,165,78,156,128,132,142,134,116,104,72,20,20,20
503,166,81,103,87,107,101,41,59,83,37,3,3,3
504,167,99,107,123,91,103,87,75,35,51,195,159,227
505,297,22,10,52,22,28,49,16,10,22,64,148,94
506,169,8,8,8,8,8,8,8,8,8,8,8,8
507,170,19,19,19,19,19,19,19,19,19,19,19,19
508,171,8,8,8,8,8,8,8,8,8,8,8,8
509,172,11,11,11,11,11,11,11,11,11,11,11,11
510,173,206,302,218,188,306,210,332,168,102,400,338,326
511,174,17,17,17,17,17,17,17,17,17,17,17,17
512,175,2,2,2,2,2,2,2,2,2,2,2,2
513,176,6,6,6,6,6,6,6,6,6,6,6,6
514,177,7,7,7,7,7,7,7,7,7,7,7,7
515,178,8,8,8,8,8,8,8,8,8,8,8,8
516,179,17,17,17,17,17,17,17,17,17,17,17,17
517,180,2,2,2,2,2,2,2,2,2,2,2,2
518,182,14,30,10,18,74,16,10,10,10,10,10,30
519,183,11,11,11,11,11,11,11,11,11,11,11,11
520,184,8,8,16,14,10,8,10,8,8,8,8,8
521,185,37,40,38,30,53,27,28,26,37,14,53,46
522,186,59,35,23,29,23,38,29,41,50,167,47,92
523,187,15,15,27,33,18,15,15,15,15,15,15,15
524,190,47,63,159,63,79,35,71,79,39,15,15,15
525,193,19,19,19,19,19,19,31,19,19,19,19,19
526,194,104,108,126,97,138,66,137,109,58,7,7,7
527,196,95,115,95,77,131,67,85,113,103,17,17,17
528,199,119,173,139,130,117,81,178,138,99,6,6,6
529,200,8,8,8,8,8,8,8,8,8,8,8,8
530,201,7,7,7,7,7,7,7,7,7,7,7,7
531,202,8,8,8,8,8,8,8,8,8,8,8,8
532,203,38,14,94,198,138,134,70,54,30,118,118,86
533,204,20,20,20,20,20,20,20,20,20,20,20,20
534,314,11,11,11,11,11,11,11,11,11,11,11,11
535,315,7,7,7,7,7,7,7,7,7,7,7,7
536,316,17,17,17,17,17,17,17,17,17,17,17,17
537,317,50,82,60,2,64,30,54,70,30,278,198,302
538,318,8,8,8,8,8,8,8,8,8,8,8,8
539,319,9,9,9,9,9,9,213,117,33,9,9,9
540,320,6,6,6,6,16,46,24,14,10,6,6,6
541,321,6,6,6,6,102,218,30,78,6,6,6,6
542,322,2,2,2,2,2,2,10,54,22,2,2,2
543,324,56,48,28,220,62,166,20,10,8,439,364,361
544,325,29,5,5,5,5,5,5,5,5,5,41,17
545,326,18,338,34,1330,194,18,18,2,2,1666,1446,994
546,396,30,10,66,22,10,14,14,10,10,16,20,10
547,397,64,16,24,216,256,152,48,16,16,904,360,128
548,433,7,7,7,7,7,7,7,7,7,7,7,7
549,399,8,8,8,8,8,8,8,8,8,8,8,8
550,205,11,11,11,15,31,27,11,11,11,11,11,11
551,206,298,366,350,866,460,568,1042,906,670,6,6,6
552,434,12,12,12,12,12,12,12,12,12,12,12,12
553,208,18,18,18,18,18,18,18,18,18,18,18,18
554,211,309,33,93,189,109,225,493,271,113,13,13,13
555,212,8,8,8,8,8,8,8,8,8,8,8,8
556,214,13,13,10,9,53,1,3,1,38,57,55,6
557,215,30,18,12,48,18,12,12,774,612,117,84,45
558,217,16,16,32,16,32,28,16,28,16,116,78,18
559,218,5,5,5,5,5,5,5,8,17,101,17,8
560,219,33,45,105,117,117,69,45,21,45,21,33,12
561,220,96,126,147,126,189,78,138,150,90,120,198,72
562,221,16,16,40,48,56,56,48,40,24,32,24,22
563,224,163,103,100,229,91,164,229,252,79,118,139,56
564,225,145,193,449,545,273,293,529,625,177,145,65,157
565,226,20,4,52,52,52,20,20,20,52,4,36,40
566,228,15,15,15,15,21,33,27,39,15,15,15,15
567,229,7,7,7,7,7,107,103,71,35,7,7,7
568,230,29,21,33,61,65,13,13,33,9,49,25,41
569,231,13,13,21,13,21,13,13,13,13,21,13,13
570,232,13,17,11,9,21,9,9,17,13,15,13,13
571,233,15,15,27,15,15,15,15,15,69,252,105,33
